no	term	description	keywords	aliases	topic	figure_id	source_id	source_title	source_authority	source_version	source_page_or_section	effective_date	reviewed_at	reviewer	approval_status
1	Biểu đồ nhiệt (Heatmap) thể hiện thông tin gì trong phân tích di truyền quần thể?	Biểu đồ nhiệt (Heatmap) là công cụ trực quan hóa ma trận FST trung bình giữa các quần thể khác nhau, bao gồm quần thể Việt Nam và các nhóm AA, Cauc, Hisp, Asian. Nó giúp người dùng nhanh chóng nhận diện mức độ khác biệt di truyền giữa các nhóm thông qua thang màu, từ đó hỗ trợ đánh giá cấu trúc di truyền quần thể trong hệ thống giám định ADN. Trong bối cảnh giám định hài cốt liệt sĩ, biểu đồ này rất hữu ích để so sánh mẫu hài cốt với các quần thể tham chiếu.	heatmap, biểu đồ nhiệt, FST, pairwise, population, Viet Nam		figure_faq	heatmap1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	heatmap1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
2	Mẫu hài cốt có vị trí trên biểu đồ nhiệt như thế nào so với các nhóm dân tộc khác?	Biểu đồ nhiệt (Heatmap) hiển thị rõ vị trí của quần thể Việt Nam so với các nhóm dân tộc khác thông qua các giá trị FST được mã hóa màu. Người dùng có thể dễ dàng quan sát xem quần thể Việt Nam nằm ở mức độ khác biệt di truyền cao hay thấp so với AA, Cauc, Hisp và Asian. Điều này hỗ trợ xác định nguồn gốc di truyền của mẫu hài cốt liệt sĩ một cách khách quan và khoa học trong hệ thống.	heatmap, biểu đồ nhiệt, FST, Viet Nam		figure_faq	heatmap1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	heatmap1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
3	Các màu sắc trên biểu đồ nhiệt biểu thị mức độ khác biệt di truyền như thế nào?	Biểu đồ nhiệt sử dụng thang màu gradient để biểu thị mức độ khác biệt di truyền (FST) giữa các cặp quần thể: màu tối thường đại diện cho sự tương đồng cao (FST thấp), trong khi màu sáng hơn cho thấy sự khác biệt rõ rệt. Người dùng có thể nhanh chóng nhận biết mối quan hệ di truyền giữa Việt Nam và các nhóm khác chỉ qua màu sắc. Trong giám định ADN, điều này giúp đánh giá độ tin cậy khi so sánh mẫu hài cốt với cơ sở dữ liệu tham chiếu.	heatmap, biểu đồ nhiệt, FST		figure_faq	heatmap1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	heatmap1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
4	Biểu đồ nhiệt cho biết quần thể nào có sự khác biệt di truyền cao nhất?	Biểu đồ nhiệt (Heatmap) cho phép người dùng xác định ngay quần thể nào (đặc biệt là Việt Nam) có mức độ FST cao nhất so với các nhóm còn lại. Bằng cách quan sát các ô màu sáng nhất ở hàng hoặc cột tương ứng với Việt Nam, nhà phân tích có thể đánh giá mức độ phân hóa di truyền. Thông tin này rất quan trọng trong hệ thống giám định hài cốt liệt sĩ để lựa chọn quần thể tham chiếu phù hợp nhất.	heatmap, FST, Viet Nam		figure_faq	heatmap1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	heatmap1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
5	Làm thế nào để xác định sự khác biệt di truyền của mẫu hài cốt qua biểu đồ nhiệt?	Biểu đồ nhiệt cung cấp cách trực quan để so sánh mức độ FST của quần thể Việt Nam với các nhóm dân tộc khác, từ đó giúp xác định xem mẫu hài cốt có phù hợp với quần thể nào nhất. Người dùng chỉ cần nhìn vào màu sắc và vị trí của các ô liên quan đến Việt Nam để đánh giá. Kết quả này hỗ trợ đưa ra quyết định chính xác hơn trong quy trình giám định ADN và phân tích nguồn gốc di truyền.	heatmap, FST, Viet Nam		figure_faq	heatmap1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	heatmap1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
6	Biểu đồ Venn thể hiện mối quan hệ gì giữa các vùng dữ liệu trong hệ thống giám định?	Biểu đồ Venn sử dụng các vòng tròn giao nhau để minh họa mối quan hệ tập hợp giữa dữ liệu của các vùng siêu biến HV1, HV2 và HV3 trong hệ thống giám định ADN. Nó cho thấy rõ phần dữ liệu độc lập của từng vùng cũng như phần chồng chéo giữa chúng. Trong giám định hài cốt liệt sĩ, biểu đồ này giúp đánh giá mức độ đầy đủ của dữ liệu mtDNA trên các vùng mục tiêu.	biểu đồ Venn, HV1 HV2 HV3, overlap, vùng siêu biến		figure_faq	venn1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	venn1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
7	Số lượng mẫu trong từng vòng tròn biểu thị thông tin gì trong biểu đồ Venn?	Biểu đồ Venn thể hiện số lượng mẫu dữ liệu thuộc từng vùng HV1, HV2, HV3 riêng lẻ cũng như số mẫu có dữ liệu đồng thời ở nhiều vùng. Các vòng tròn độc lập cho biết dữ liệu chỉ có ở một vùng, trong khi phần giao nhau phản ánh sự chồng chéo. Thông tin này hỗ trợ nhà phân tích đánh giá chất lượng và độ phủ của dữ liệu mtDNA trong cơ sở dữ liệu hài cốt.	biểu đồ Venn, HV1, HV2, HV3		figure_faq	venn1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	venn1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
8	Phần giao nhau giữa các vòng tròn có ý nghĩa phân tích gì đặc biệt?	Phần giao nhau trong biểu đồ Venn cho biết số mẫu có dữ liệu đồng thời ở nhiều vùng siêu biến HV1, HV2, HV3, giúp đánh giá mức độ đầy đủ của thông tin di truyền trên cùng một mẫu. Phần giao nhau càng lớn càng cho thấy dữ liệu chất lượng cao và đáng tin cậy hơn cho phân tích. Trong hệ thống giám định, điều này hỗ trợ quyết định xem mẫu hài cốt có đủ điều kiện để đối sánh hay cần bổ sung dữ liệu thêm.	biểu đồ Venn, overlap		figure_faq	venn1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	venn1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
9	Vùng giao nhau giữa HV1 và HV2 có ý nghĩa di truyền là gì?	Biểu đồ Venn làm nổi bật vùng giao nhau giữa HV1 và HV2, giúp người dùng hiểu rõ mức độ chồng chéo dữ liệu giữa hai vùng siêu biến quan trọng này trong mtDNA. Sự chồng chéo này phản ánh tính nhất quán và độ tin cậy của dữ liệu giải trình tự. Trong giám định hài cốt liệt sĩ, thông tin này rất hữu ích để đánh giá chất lượng mẫu trước khi thực hiện đối sánh.	biểu đồ Venn, HV1 HV2		figure_faq	venn1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	venn1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
10	Biểu đồ Venn giúp phát hiện điểm bất thường nào trong dữ liệu giám định?	Biểu đồ Venn giúp phát hiện nhanh các điểm bất thường như vùng dữ liệu thiếu hụt nghiêm trọng hoặc chồng chéo bất thường giữa HV1, HV2, HV3. Nếu một vùng nào đó gần như không có dữ liệu hoặc giao nhau quá ít, hệ thống có thể cần kiểm tra lại quy trình giải trình tự. Đây là công cụ quan trọng để đảm bảo chất lượng dữ liệu trước khi tiến hành các bước giám định tiếp theo.	biểu đồ Venn, HV1 HV2 HV3		figure_faq	venn1	internal-figure-faq	Bộ câu hỏi đáp hình minh họa giám định ADN	Chatbot - nội dung dự án	1.0	venn1	2026-08-12	2026-08-12	Dữ liệu dự án hiện hành	approved
